"","GEOID","perc_over65"
"1","01069",18.4
"2","01023",23.8
"3","01113",15.2
"4","10005",29.5
"5","01071",20.8
"6","01089",15.5
"7","04015",31.9
"8","05017",21.7
"9","05121",19.4
"10","05073",25.4
"11","05057",18.7
"12","06079",21.6
"13","06081",17.3
"14","06091",34.5
"15","08067",20
"16","12007",18.1
"17","10003",16.6
"18","09003",17
"19","12009",24.2
"20","12131",19.8
"21","12053",26.6
"22","12047",19.6
"23","12065",24.5
"24","12031",15
"25","13105",21.2
"26","13213",14.9
"27","16073",19.1
"28","16049",28.6
"29","17105",20
"30","17161",20.1
"31","27087",17.5
"32","18089",17.4
"33","04013",16
"34","06067",14.9
"35","19159",23.1
"36","06107",11.7
"37","06069",13.5
"38","19163",17.1
"39","27053",15.1
"40","17125",23
"41","36005",13.9
"42","20099",20.1
"43","36119",17.7
"44","36053",19.7
"45","21235",15.7
"46","44007",16
"47","36029",18.8
"48","48287",20.8
"49","36091",19.4
"50","01121",18.9
"51","21133",20.6
"52","38017",12.8
"53","39035",19
"54","39061",16.2
"55","22075",13.9
"56","22031",18.5
"57","22111",22.1
"58","22115",13.5
"59","01087",20.7
"60","01041",19.9
"61","24005",17.8
"62","24019",22.5
"63","24017",13.1
"64","24015",16.7
"65","25001",32.3
"66","25017",16
"67","26103",20
"68","26053",28.8
"69","26115",19.3
"70","26141",33.1
"71","27075",27.4
"72","27163",16.2
"73","28001",21.6
"74","28087",16.9
"75","28143",13.9
"76","28139",17
"77","29099",16.1
"78","30001",23.7
"79","30105",24.3
"80","30005",16.4
"81","30029",20.8
"82","33017",16.5
"83","34001",19.3
"84","34009",28.6
"85","34041",19
"86","34019",20.1
"87","34025",18.6
"88","34023",15.8
"89","35045",16.3
"90","36031",25.7
"91","37047",20.4
"92","37039",31.3
"93","37149",32.1
"94","37009",27
"95","37055",24.3
"96","37091",21.3
"97","38097",20
"98","38053",9.1
"99","39167",21.7
"100","40095",22.1
"101","02020",12.4
"102","02180",8.4
"103","02070",12.4
"104","41015",35.6
"105","41007",24.3
"106","41035",22.1
"107","41033",26.8
"108","02066",22
"109","41065",20.9
"110","48037",17.3
"111","42071",19.2
"112","42095",19.9
"113","44009",22.6
"114","45013",27.9
"115","45051",25.7
"116","45091",15
"117","46023",18.5
"118","04007",30.4
"119","47157",14.4
"120","47165",16.4
"121","47019",22.3
"122","47123",21.8
"123","47013",20.8
"124","48273",13.2
"125","48229",11.1
"126","48419",17.7
"127","48301",74.1
"128","49037",16.2
"129","49019",20.2
"130","49049",7.8
"131","49023",12.6
"132","51133",37.9
"133","51193",26.4
"134","51073",20.3
"135","51107",10.4
"136","51143",24.1
"137","51083",25.3
"138","53053",14.4
"139","53067",18.3
"140","53005",15.6
"141","54047",21.6
"142","54099",21.8
"143","54037",17
"144","54003",15.1
"145","55003",21.1
"146","55051",32
"147","56039",17.5
"148","05045",13.4
"149","05011",18.5
"150","05085",14.4
"151","05099",21.1
"152","05037",18.6
"153","06007",18.2
"154","06047",11.6
"155","08059",17.4
"156","08065",13.2
"157","08055",34
"158","12117",16.3
"159","12041",20.2
"160","12013",17.9
"161","13229",17
"162","13261",17.3
"163","13021",16.2
"164","13151",12.2
"165","13195",18.1
"166","13265",27.1
"167","13267",15.2
"168","13237",24.5
"169","13219",16.1
"170","13205",18.1
"171","13201",21.8
"172","16085",26.5
"173","16005",15
"174","16039",14.2
"175","17047",22.1
"176","17027",18.1
"177","18041",20.5
"178","18069",18.2
"179","19175",20.5
"180","20059",17.5
"181","20171",20.3
"182","21123",17.7
"183","21115",18.7
"184","21109",17.9
"185","21175",17.4
"186","21011",16.7
"187","21231",21.2
"188","21061",21.5
"189","21165",22
"190","22001",16.1
"191","22071",16.5
"192","22103",18
"193","22067",19.4
"194","22081",19.4
"195","22039",15.7
"196","22043",15.4
"197","22083",18
"198","26135",28.5
"199","27015",21.8
"200","28163",14
"201","28089",14.9
"202","28101",17.2
"203","29033",22
"204","29039",23.6
"205","29197",18.9
"206","30063",16.6
"207","30097",23.4
"208","30047",23.6
"209","30069",27.9
"210","30023",25.5
"211","31115",27
"212","31005",19.3
"213","32011",23.1
"214","35011",23.9
"215","36113",23.6
"216","36017",21.7
"217","36051",19.5
"218","37193",22.7
"219","37159",17.5
"220","37089",26
"221","37163",18
"222","37121",25.5
"223","38069",24.6
"224","39067",22.5
"225","40145",16.9
"226","40133",18.2
"227","41017",20.8
"228","41031",19.8
"229","41055",22.7
"230","42051",22.2
"231","42129",23.7
"232","42023",29.5
"233","45055",18.9
"234","45027",24.4
"235","45017",24.1
"236","46079",23.6
"237","47001",20.1
"238","47189",15.8
"239","47135",22.1
"240","47045",17.5
"241","47029",21.9
"242","47049",23
"243","47085",20.6
"244","47185",20.7
"245","47127",21.4
"246","48339",13.5
"247","48029",12.7
"248","48245",15.1
"249","48457",22.1
"250","48157",12.2
"251","48139",12.9
"252","48499",27.1
"253","48041",9.8
"254","48459",18.3
"255","48343",21.7
"256","48393",16.8
"257","48289",23.7
"258","48349",16.7
"259","48185",18.5
"260","48467",20.2
"261","48125",24.4
"262","48105",21.6
"263","48415",15.4
"264","48379",24.2
"265","48261",50
"266","49011",10.7
"267","49015",18
"268","49051",13.1
"269","49007",18.8
"270","49013",12.8
"271","49055",23.1
"272","51109",20.4
"273","51023",23.6
"274","51061",16.7
"275","51009",21.4
"276","51161",21.8
"277","51175",21.4
"278","51113",22.8
"279","53017",18
"280","54039",21.7
"281","54109",22.9
"282","54025",24
"283","54041",20.8
"284","55057",21.4
"285","55035",16.6
"286","56013",19.6
"287","60050",NA
"288","66010",NA
"289","69110",NA
"290","72097",25.9
"291","72115",22.2
"292","72141",24.6
"293","72023",24.5
"294","72015",22
"295","78010",NA
"296","08033",37.2
"297","01073",16.5
"298","09009",18.2
"299","09011",19
"300","06109",27.7
"301","12103",25.9
"302","12057",14.8
"303","12075",25
"304","12086",16.8
"305","12071",28.9
"306","12113",16.5
"307","01043",18.9
"308","12037",26.2
"309","12073",14.4
"310","13051",16.4
"311","13185",13
"312","13027",20.8
"313","13049",14.7
"314","17197",14.1
"315","13245",14.9
"316","13241",28.5
"317","13153",13.4
"318","16041",14.1
"319","01033",20.1
"320","04001",16.2
"321","05007",13.6
"322","05139",18.9
"323","05003",21.3
"324","05133",14.3
"325","05131",16.7
"326","05015",23.3
"327","05021",21.8
"328","05041",19.6
"329","05063",17.5
"330","06059",15.8
"331","05019",16.2
"332","06037",14.7
"333","06087",18.3
"334","06097",21
"335","06041",23.3
"336","06001",14.9
"337","06003",21.8
"338","06061",20.2
"339","06057",28.9
"340","08077",20.4
"341","08123",12.7
"342","08083",23.9
"343","21147",16.1
"344","37167",19
"345","37007",19.9
"346","37155",15.8
"347","01099",21.2
"348","21135",19.1
"349","22057",16.2
"350","22117",18.5
"351","22029",18.9
"352","22035",18
"353","22011",16
"354","23031",21.7
"355","23029",25.8
"356","23003",25.4
"357","24041",29.3
"358","24037",13.7
"359","24039",17.3
"360","01131",21.4
"361","24011",17.1
"362","24033",14.4
"363","24001",21
"364","01065",19.9
"365","36063",20.2
"366","37129",18.7
"367","37141",18
"368","37133",9.7
"369","37043",32.3
"370","37113",28.9
"371","37175",30.8
"372","37049",20.5
"373","37137",30.7
"374","37177",25.5
"375","37053",17.2
"376","37131",28.5
"377","37075",24.8
"378","38077",19.6
"379","38105",9.9
"380","38099",21.5
"381","38067",25.5
"382","38085",9.2
"383","39043",23
"384","40065",15.4
"385","40141",20.1
"386","40067",20.8
"387","40023",20.7
"388","40135",18.5
"389","40089",17.8
"390","02130",17.3
"391","02185",7.9
"392","02290",16.5
"393","02220",17.3
"394","41051",14.4
"395","41021",31.8
"396","42133",18.4
"397","42017",20
"398","42049",19.2
"399","42127",25
"400","42029",17.3
"401","42089",18.9
"402","02100",26.8
"403","45045",16.4
"404","45025",18.9
"405","25025",13
"406","25021",17.4
"407","25013",17.8
"408","26041",25.6
"409","26003",26.6
"410","27167",19.1
"411","27137",20.8
"412","27119",18.9
"413","27073",27.2
"414","28113",17.5
"415","28151",17.6
"416","28055",19.5
"417","28033",13.3
"418","28021",18.9
"419","29201",18.4
"420","29183",16.4
"421","29013",19.2
"422","29087",25.8
"423","29171",25.1
"424","30053",29.7
"425","30051",20.6
"426","30085",11.9
"427","30075",31.6
"428","30035",12.8
"429","30009",27.2
"430","32033",19.9
"431","32017",18.9
"432","35029",20.7
"433","36045",14.6
"434","16043",17.8
"435","16083",16.4
"436","16003",30.4
"437","16069",20.6
"438","17153",22.7
"439","17045",24
"440","18147",20.2
"441","18129",20.3
"442","19111",21.7
"443","27145",15.8
"444","29037",17.5
"445","29019",13.1
"446","29159",17.1
"447","34031",15.5
"448","26163",16.1
"449","18161",20.4
"450","06113",13.3
"451","18035",17.4
"452","19063",23.5
"453","26109",26.3
"454","19189",21.6
"455","36047",15
"456","20013",21.5
"457","01091",20.2
"458","01101",15.8
"459","01095",17
"460","36075",17.4
"461","21027",19.9
"462","40087",15.4
"463","40125",16.5
"464","36071",14.3
"465","21159",17.4
"466","48213",22.4
"467","55078",15.6
"468","18139",18.9
"469","18065",19.2
"470","18027",15.8
"471","18071",16
"472","18175",18.1
"473","19055",20.9
"474","19165",23.2
"475","20069",16
"476","20093",16.5
"477","20165",25.3
"478","21179",16.8
"479","21183",18.1
"480","21107",18.9
"481","21209",13
"482","21079",18.4
"483","21025",18.3
"484","21167",19.2
"485","21013",18.8
"486","21187",19.8
"487","04025",33.5
"488","46103",19.6
"489","46089",30.8
"490","47167",15.3
"491","47055",20.8
"492","47065",18.1
"493","47155",19.9
"494","47059",21.8
"495","47147",14.8
"496","47009",20.8
"497","48355",15.6
"498","48427",11.2
"499","48409",15.4
"500","48039",12.5
"501","48443",37.1
"502","48211",19.2
"503","48067",22.2
"504","49043",14.7
"505","50027",24.7
"506","51185",23.3
"507","51191",24.3
"508","51051",24.2
"509","51131",28.5
"510","51179",11.1
"511","51103",40
"512","51159",20.2
"513","51015",22
"514","51181",24.7
"515","51059",14.5
"516","51069",18.2
"517","53057",22.1
"518","53055",35
"519","53027",22.8
"520","53045",23.7
"521","53033",13.8
"522","53049",33
"523","53029",26.1
"524","54063",24.9
"525","54103",22.7
"526","54095",23.8
"527","54107",21.2
"528","54057",22.5
"529","54031",23.3
"530","54027",23.7
"531","55023",24.8
"532","55011",23.3
"533","55121",18.3
"534","56007",19
"535","56033",22.1
"536","56029",24.9
"537","05097",27
"538","05025",20.9
"539","06019",12.7
"540","06105",29.3
"541","06089",21.2
"542","06115",13.1
"543","06011",15.3
"544","08035",13.4
"545","08043",22.4
"546","08027",30.4
"547","08117",15.4
"548","08049",20
"549","08029",27.8
"550","08091",35.5
"551","08093",22.8
"552","12069",26.6
"553","12083",28.7
"554","12023",20
"555","12119",57.8
"556","12097",13.4
"557","12121",21.1
"558","12125",17.2
"559","13121",12.4
"560","13013",12.8
"561","13163",18.6
"562","13009",16.7
"563","13279",17
"564","13001",18
"565","13023",17.7
"566","13133",30.4
"567","13311",22.9
"568","13301",23.1
"569","13315",19.5
"570","13305",16.3
"571","13289",24
"572","13249",15.5
"573","15003",19.1
"574","15001",23.2
"575","16013",21.8
"576","16061",27.8
"577","16025",14.9
"578","16015",27.3
"579","17039",20
"580","31075",20.6
