"","GEOID","incidence"
"1","13031",0.11
"2","13121",0.23
"3","13179",NA
"4","13189",0.18
"5","13213",NA
"6","13209",NA
"7","13139",0.04
"8","13245",0.3
"9","13049",NA
"10","13141",NA
"11","13157",NA
"12","13315",NA
"13","13241",NA
"14","13269",0.47
"15","13177",0.56
"16","13279",0.29
"17","13007",NA
"18","34015",0.14
"19","34023",0.11
"20","34035",0.1
"21","34031",0.09
"22","34021",0.14
"23","34009",0.25
"24","35031",0.33
"25","35013",1.06
"26","28059",0.4
"27","02170",NA
"28","35033",0.85
"29","53067",0.02
"30","51147",0.17
"31","01009",NA
"32","01095",0.04
"33","51029",NA
"34","51139",NA
"35","53017",NA
"36","51153",0.07
"37","51171",0.09
"38","01043",0.05
"39","51061",NA
"40","53021",0.09
"41","53019",NA
"42","53029",NA
"43","53075",0.17
"44","33017",NA
"45","31093",4.45
"46","31115",NA
"47","51001",0.12
"48","21101",NA
"49","21093",0.04
"50","51119",NA
"51","22075",NA
"52","22107",NA
"53","51193",0.23
"54","22119",1.17
"55","23027",NA
"56","51091",NA
"57","21013",0.14
"58","21131",NA
"59","51083",NA
"60","23023",NA
"61","21235",NA
"62","24041",0.11
"63","24033",0.17
"64","24035",0.25
"65","24023",NA
"66","51165",0.52
"67","37083",NA
"68","37179",0.02
"69","37129",0.11
"70","37163",NA
"71","37031",0.06
"72","37183",0.04
"73","37119",0.09
"74","37087",0.07
"75","37141",NA
"76","37021",0.03
"77","37047",0.07
"78","37039",NA
"79","37171",NA
"80","37093",NA
"81","37105",0.07
"82","37173",NA
"83","37015",NA
"84","37175",NA
"85","18083",0.11
"86","18183",0.36
"87","18089",0.59
"88","18051",0.6
"89","18071",0.28
"90","18061",NA
"91","21071",0.1
"92","20123",1.27
"93","21043",NA
"94","21085",NA
"95","21011",NA
"96","21099",0.22
"97","20149",0.54
"98","21189",NA
"99","21003",NA
"100","21109",NA
"101","21205",NA
"102","21147",0.22
"103","21031",NA
"104","20203",1.8
"105","17031",0.88
"106","17027",0.84
"107","17079",0.83
"108","17171",NA
"109","17185",0.68
"110","17047",NA
"111","39043",0.21
"112","06001",0.02
"113","06081",0.03
"114","06065",0.67
"115","06095",0.23
"116","06103",1.65
"117","06111",0.12
"118","06083",0.05
"119","36081",0.3
"120","06093",0.09
"121","06115",1.87
"122","06033",0.56
"123","06061",0.66
"124","06005",0.43
"125","06043",NA
"126","08029",7.74
"127","12119",0.12
"128","12069",0.01
"129","08069",2.23
"130","09009",0.13
"131","09007",0.14
"132","12079",0.42
"133","12127",0.08
"134","12099",0.03
"135","12113",0.28
"136","12125",0.26
"137","12093",NA
"138","08083",1.88
"139","42033",0.2
"140","42125",0.02
"141","42031",NA
"142","42097",0.34
"143","42061",0.09
"144","55099",0.29
"145","55121",0.41
"146","55075",0.19
"147","55001",0.2
"148","30051",NA
"149","30005",6.58
