"","GEOID","birds_tot"
"1","13031",16
"2","13121",14
"3","13179",16
"4","13189",14
"5","13213",13
"6","13209",16
"7","13139",14
"8","13245",16
"9","13049",16
"10","13141",15
"11","13157",14
"12","13315",15
"13","13241",13
"14","13269",14
"15","13177",16
"16","13279",16
"17","13007",16
"18","34015",15
"19","34023",15
"20","34035",15
"21","34031",15
"22","34021",15
"23","34009",15
"24","35031",14
"25","35013",14
"26","28059",16
"27","02170",0
"28","35033",16
"29","53067",12
"30","51147",14
"31","01009",14
"32","01095",13
"33","51029",14
"34","51139",13
"35","53017",15
"36","51153",14
"37","51171",13
"38","01043",13
"39","51061",14
"40","53021",14
"41","53019",13
"42","53029",11
"43","53075",13
"44","33017",14
"45","31093",14
"46","31115",13
"47","51001",15
"48","21101",14
"49","21093",13
"50","51119",15
"51","22075",16
"52","22107",16
"53","51193",15
"54","22119",15
"55","23027",13
"56","51091",13
"57","21013",12
"58","21131",12
"59","51083",14
"60","23023",13
"61","21235",12
"62","24041",16
"63","24033",15
"64","24035",15
"65","24023",12
"66","51165",13
"67","37083",15
"68","37179",14
"69","37129",15
"70","37163",15
"71","37031",15
"72","37183",14
"73","37119",13
"74","37087",13
"75","37141",15
"76","37021",12
"77","37047",15
"78","37039",12
"79","37171",13
"80","37093",15
"81","37105",14
"82","37173",13
"83","37015",15
"84","37175",13
"85","18083",13
"86","18183",13
"87","18089",14
"88","18051",14
"89","18071",13
"90","18061",13
"91","21071",12
"92","20123",15
"93","21043",13
"94","21085",12
"95","21011",12
"96","21099",12
"97","20149",13
"98","21189",12
"99","21003",12
"100","21109",12
"101","21205",13
"102","21147",12
"103","21031",12
"104","20203",15
"105","17031",14
"106","17027",13
"107","17079",13
"108","17171",13
"109","17185",13
"110","17047",13
"111","39043",14
"112","06001",14
"113","06081",14
"114","06065",14
"115","06095",14
"116","06103",14
"117","06111",14
"118","06083",14
"119","36081",15
"120","06093",16
"121","06115",13
"122","06033",14
"123","06061",16
"124","06005",13
"125","06043",13
"126","08029",14
"127","12119",14
"128","12069",14
"129","08069",18
"130","09009",15
"131","09007",15
"132","12079",16
"133","12127",14
"134","12099",14
"135","12113",16
"136","12125",15
"137","12093",14
"138","08083",14
"139","42033",13
"140","42125",13
"141","42031",13
"142","42097",13
"143","42061",13
"144","55099",12
"145","55121",14
"146","55075",12
"147","55001",15
"148","30051",14
"149","30005",15
"150","30077",15
"151","30057",15
"152","30003",15
"153","30073",13
"154","30045",15
"155","30009",15
"156","30085",16
"157","30069",15
"158","49035",16
"159","49011",16
"160","01097",16
"161","49025",14
"162","01033",14
"163","01041",16
"164","01065",15
"165","01109",16
"166","36011",15
"167","36025",14
"168","36115",13
"169","48029",15
"170","48423",14
"171","48201",14
"172","48471",14
"173","48257",14
"174","48223",14
"175","48321",14
"176","48473",14
"177","48215",12
"178","48323",12
"179","48187",15
"180","48343",15
"181","48389",14
"182","48071",15
"183","48351",15
"184","48057",14
"185","48455",14
"186","40017",15
"187","40135",16
"188","40117",16
"189","40101",15
"190","40127",14
"191","40075",15
"192","41023",15
"193","41061",13
"194","41007",12
"195","41003",12
"196","41015",13
"197","01131",15
"198","01079",14
"199","01035",16
"200","05067",16
"201","05001",16
"202","05011",16
"203","05025",15
"204","05099",15
"205","48273",15
"206","48179",16
"207","48195",17
"208","48379",14
"209","48277",14
"210","45063",16
"211","45051",15
"212","45013",16
"213","45045",14
"214","45069",15
"215","45021",13
"216","45007",14
"217","45087",14
"218","45027",16
"219","45061",16
"220","45039",14
"221","45017",16
"222","45043",16
"223","21181",12
"224","22103",16
"225","47037",13
"226","47045",16
"227","47129",12
"228","46023",13
"229","47163",13
"230","47055",13
"231","47107",13
"232","47031",12
"233","46055",14
"234","47173",13
"235","47189",13
"236","46079",12
"237","20151",16
"238","47097",16
"239","47079",15
"240","56039",14
"241","56029",16
"242","54043",12
"243","54001",12
"244","54037",13
"245","54049",12
"246","54109",12
"247","54005",12
"248","16005",16
"249","04001",13
"250","12045",16
"251","12123",16
"252","29201",14
"253","29069",16
"254","29129",13
"255","29031",14
"256","25027",14
"257","26163",14
"258","26021",14
"259","26077",14
"260","26033",12
"261","26071",12
"262","37055",15
"263","48443",14
"264","48205",17
"265","72113",0
"266","72097",0
"267","72037",0
"268","60030",0
"269","04013",13
"270","15001",0
"271","27167",15
"272","27133",13
"273","27119",15
"274","27069",15
"275","27125",15
"276","27023",15
"277","26097",14
"278","38067",15
"279","48405",15
"280","48119",14
"281","22019",15
"282","22005",16
"283","22071",16
"284","22113",15
"285","22043",16
"286","38005",15
"287","38097",15
"288","38095",15
"289","38037",15
"290","28093",15
"291","28001",16
"292","28121",16
"293","28143",16
"294","28095",15
"295","28039",16
"296","28087",15
"297","28163",16
"298","28053",16
"299","16061",12
"300","16079",11
"301","16077",16
"302","02020",0
"303","25011",13
"304","51121",13
"305","51075",14
"306","51093",15
"307","51137",14
"308","51023",13
"309","51009",13
"310","51007",14
"311","51097",15
"312","51081",14
"313","02066",0
"314","02240",0
"315","02195",0
"316","02275",0
"317","02164",0
"318","02110",0
"319","02282",0
"320","32011",14
"321","29197",13
"322","48301",14
"323","48155",14
"324","31015",13
"325","78010",0
"326","78020",0
"327","23021",12
"328","16025",14
"329","08107",16
"330","08097",15
"331","08117",17
"332","08053",14
"333","08023",16
"334","08065",16
"335","08057",18
"336","13073",15
"337","13205",16
"338","34007",15
"339","34027",15
"340","34017",15
"341","34001",15
"342","34025",15
"343","34011",15
"344","34019",15
"345","35045",14
"346","35017",13
"347","35007",16
"348","35051",15
"349","35055",16
"350","01089",13
"351","01117",14
"352","01121",14
"353","01073",15
"354","53027",11
"355","53049",12
"356","01055",14
"357","53011",13
"358","53073",12
"359","51107",14
"360","13319",15
"361","13021",15
"362","13143",14
"363","13151",14
"364","13215",14
"365","13113",14
"366","13025",16
"367","13301",15
"368","13123",13
"369","13183",16
"370","13277",16
"371","13291",14
"372","13263",14
"373","13265",14
"374","37069",14
"375","37123",14
"376","37199",12
"377","37155",15
"378","37167",14
"379","37161",13
"380","37065",15
"381","37041",15
"382","37149",13
"383","37113",12
"384","37007",14
"385","37023",12
"386","37121",12
"387","19075",13
"388","19149",13
"389","19117",13
"390","19025",13
"391","19111",13
"392","18117",13
"393","19163",13
"394","19131",13
"395","18125",13
"396","18027",13
"397","18123",13
"398","20043",13
"399","20145",16
"400","21209",12
"401","21107",14
"402","21017",12
"403","21079",12
"404","21049",12
"405","21051",12
"406","20119",15
"407","21239",12
"408","20071",17
"409","21005",12
"410","21165",12
"411","17163",14
"412","17089",14
"413","17167",13
"414","17017",13
"415","17161",13
"416","17177",14
"417","17109",13
"418","17129",13
"419","17125",13
"420","39093",14
"421","39061",13
"422","39007",14
"423","39167",13
"424","39123",14
"425","39079",13
"426","06037",14
"427","06087",14
"428","06039",15
"429","06019",16
"430","06097",14
"431","06099",13
"432","06107",15
"433","06013",14
"434","06047",13
"435","36047",15
"436","36005",15
"437","06105",14
"438","36119",15
"439","36071",15
"440","06025",14
"441","51019",13
"442","01001",14
"443","53009",11
"444","53071",13
"445","51089",13
"446","53007",15
"447","53025",14
"448","53057",12
"449","53037",14
"450","01107",15
"451","53043",14
"452","33015",15
"453","33007",11
"454","32031",16
"455","31071",13
"456","31155",13
"457","31089",14
"458","31183",14
"459","24039",15
"460","24037",15
"461","21111",13
"462","22051",16
"463","51159",15
"464","51133",15
"465","51057",15
"466","21135",13
"467","22031",16
"468","22029",16
"469","22111",15
"470","21007",14
"471","51103",15
"472","21133",12
"473","23003",13
"474","21121",12
"475","21167",12
"476","21179",12
"477","21125",12
"478","21097",13
"479","21029",13
"480","51143",14
"481","21217",12
"482","51099",15
"483","21159",12
"484","21123",12
"485","22109",16
"486","24001",12
"487","24003",15
"488","24029",15
"489","24013",15
"490","25009",15
"491","25013",14
"492","24047",16
"493","25025",15
"494","37127",14
"495","37099",12
"496","37115",13
"497","37079",15
"498","37147",15
"499","42101",15
"500","42049",14
"501","42091",15
"502","42079",13
"503","42095",14
"504","42043",13
"505","42071",15
"506","42013",12
"507","42035",13
"508","42055",13
"509","42067",13
"510","44007",15
"511","42051",12
"512","44009",15
"513","55061",15
"514","55011",13
"515","48213",14
"516","48037",16
"517","48331",15
"518","48315",15
"519","48081",15
"520","48475",14
"521","48163",14
"522","48313",14
"523","48083",15
"524","48289",14
"525","48005",14
"526","40143",16
"527","40089",16
"528","40113",16
"529","40087",15
"530","40141",14
"531","40095",14
"532","40077",14
"533","40055",14
"534","40151",15
"535","41047",14
"536","41057",12
"537","41065",15
"538","41043",13
"539","41021",13
"540","41063",12
"541","41017",15
"542","01119",15
"543","05039",15
"544","05013",15
"545","05081",16
"546","05029",16
"547","16087",14
"548","05003",15
"549","05103",15
"550","05019",15
"551","05073",15
"552","05063",16
"553","05147",15
"554","05093",16
"555","06003",16
"556","05091",15
"557","05095",16
"558","05017",16
"559","16081",13
"560","48477",14
"561","48075",14
"562","48487",14
"563","48333",15
"564","48411",16
"565","48419",15
"566","48105",15
"567","48051",14
"568","55111",15
"569","55003",12
"570","55023",14
"571","55037",12
"572","55051",12
"573","30093",14
"574","30037",15
"575","30083",16
"576","30059",16
